loan_id,original_balance,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,origination_month,original_term_months,original_interest_rate
L000478,498000,780+,61-70,31-40,NC,Cash-Out Refinance,Investment,Single Family,2018-09,360,3.87
L000145,219000,700-739,61-70,>50,NY,Cash-Out Refinance,Primary,Single Family,2018-09,360,5.83
L000109,288000,620-659,81-90,31-40,OH,Refinance,Investment,Single Family,2018-09,360,3.79
L000298,292000,740-779,81-90,>50,IN,Refinance,Primary,Manufactured,2018-09,360,5.28
L000456,424000,<620,81-90,31-40,VA,Refinance,Second Home,Single Family,2018-09,360,6.95
L000486,409000,700-739,91-95,41-50,FL,Purchase,Investment,2-4 Unit,2018-09,360,6.79
L000216,173000,660-699,91-95,<=20,CA,Refinance,Second Home,Condo,2018-09,360,5.14
L000387,192000,620-659,<=60,31-40,NJ,Purchase,Investment,Condo,2018-10,360,4.21
L000391,335000,740-779,<=60,21-30,MA,Cash-Out Refinance,Primary,Condo,2018-10,360,5.28
L000433,265000,620-659,71-80,21-30,VA,Purchase,Primary,2-4 Unit,2018-10,360,3.43
L000083,238000,660-699,81-90,41-50,OH,Refinance,Investment,Single Family,2018-11,360,4.96
L000182,346000,740-779,81-90,41-50,OH,Refinance,Investment,2-4 Unit,2018-11,360,4.68
L000200,309000,700-739,91-95,31-40,AZ,Cash-Out Refinance,Investment,Single Family,2018-11,360,5.0
L000410,288000,700-739,91-95,<=20,IL,Purchase,Investment,Manufactured,2018-12,360,6.37
L000442,172000,620-659,91-95,31-40,NJ,Purchase,Second Home,Single Family,2018-12,360,6.83
L000402,172000,700-739,>95,21-30,TN,Refinance,Second Home,Manufactured,2018-12,360,5.13
L000419,399000,620-659,61-70,<=20,MI,Purchase,Primary,Condo,2018-12,360,4.04
L000157,211000,780+,91-95,<=20,NJ,Purchase,Second Home,Manufactured,2018-12,360,3.38
L000453,450000,620-659,71-80,>50,MD,Refinance,Primary,Condo,2018-12,360,6.85
L000359,155000,<620,81-90,21-30,CA,Cash-Out Refinance,Primary,Condo,2018-12,360,5.19
L000462,385000,700-739,71-80,<=20,MO,Refinance,Primary,Manufactured,2018-12,360,2.81
L000212,188000,660-699,<=60,21-30,FL,Purchase,Primary,Single Family,2018-12,360,3.09
L000093,338000,<620,91-95,<=20,NC,Cash-Out Refinance,Investment,Manufactured,2018-12,360,6.8
L000449,217000,700-739,71-80,41-50,WA,Cash-Out Refinance,Investment,Single Family,2019-01,360,4.02
L000444,435000,<620,71-80,21-30,CA,Cash-Out Refinance,Second Home,Single Family,2019-01,360,3.91
L000483,287000,700-739,71-80,<=20,TN,Purchase,Investment,Single Family,2019-01,360,6.79
L000348,329000,620-659,71-80,>50,IL,Refinance,Primary,2-4 Unit,2019-01,360,5.73
L000307,177000,620-659,<=60,31-40,IN,Cash-Out Refinance,Second Home,2-4 Unit,2019-01,360,3.28
L000418,483000,620-659,>95,31-40,TN,Refinance,Second Home,Single Family,2019-01,360,6.33
L000121,230000,660-699,81-90,<=20,NJ,Purchase,Second Home,Condo,2019-01,360,6.69
L000474,486000,<620,<=60,21-30,MO,Purchase,Primary,Single Family,2019-02,360,4.69
L000063,450000,620-659,81-90,31-40,OH,Cash-Out Refinance,Second Home,Single Family,2019-02,360,6.75
L000040,411000,740-779,<=60,41-50,TX,Cash-Out Refinance,Investment,Manufactured,2019-02,360,5.51
L000238,444000,<620,81-90,41-50,WA,Refinance,Primary,Single Family,2019-02,360,6.36
L000317,426000,660-699,61-70,21-30,NY,Purchase,Primary,Single Family,2019-02,360,4.59
L000107,237000,700-739,<=60,41-50,TN,Purchase,Investment,Manufactured,2019-02,360,2.96
L000334,152000,620-659,<=60,>50,MD,Purchase,Second Home,Manufactured,2019-03,360,6.44
L000318,303000,780+,81-90,21-30,MI,Refinance,Primary,2-4 Unit,2019-03,360,3.66
L000110,499000,780+,91-95,>50,GA,Purchase,Second Home,Condo,2019-03,360,3.8
L000024,400000,700-739,91-95,31-40,FL,Refinance,Investment,Manufactured,2019-03,360,4.14
L000065,492000,660-699,<=60,31-40,NJ,Refinance,Investment,Single Family,2019-03,360,3.57
L000002,342000,660-699,81-90,21-30,WI,Refinance,Investment,2-4 Unit,2019-03,360,3.88
L000075,293000,620-659,71-80,<=20,CA,Cash-Out Refinance,Second Home,Single Family,2019-03,360,4.08
L000117,421000,620-659,71-80,31-40,GA,Cash-Out Refinance,Second Home,Manufactured,2019-03,360,3.82
L000397,447000,620-659,>95,>50,WI,Refinance,Investment,2-4 Unit,2019-04,360,6.18
L000460,264000,740-779,61-70,31-40,TN,Purchase,Primary,Manufactured,2019-04,360,4.6
L000374,319000,700-739,91-95,>50,WA,Cash-Out Refinance,Second Home,Single Family,2019-04,360,2.53
L000347,192000,660-699,>95,31-40,IL,Refinance,Primary,Condo,2019-04,360,4.05
L000207,491000,740-779,<=60,>50,PA,Purchase,Second Home,2-4 Unit,2019-04,360,6.58
L000467,276000,620-659,61-70,21-30,PA,Purchase,Primary,Condo,2019-04,360,5.26
L000382,161000,620-659,71-80,21-30,TN,Purchase,Primary,Condo,2019-04,360,3.88
L000316,221000,620-659,81-90,31-40,AZ,Purchase,Second Home,Single Family,2019-04,360,4.82
L000183,166000,700-739,61-70,21-30,TN,Refinance,Investment,Single Family,2019-04,360,5.86
L000366,406000,780+,<=60,41-50,TN,Purchase,Investment,Condo,2019-04,360,6.77
L000351,482000,700-739,91-95,31-40,MI,Purchase,Second Home,Manufactured,2019-05,360,5.49
L000480,306000,<620,>95,41-50,TN,Cash-Out Refinance,Investment,Condo,2019-05,360,6.58
L000177,378000,660-699,81-90,>50,MI,Purchase,Second Home,Condo,2019-05,360,4.12
L000245,489000,<620,81-90,<=20,CA,Cash-Out Refinance,Investment,Manufactured,2019-05,360,4.23
L000447,480000,700-739,>95,21-30,VA,Purchase,Primary,2-4 Unit,2019-05,360,6.66
L000496,208000,700-739,<=60,41-50,MA,Purchase,Second Home,Condo,2019-05,360,5.21
L000296,494000,700-739,61-70,31-40,TX,Refinance,Second Home,Condo,2019-05,360,4.28
L000269,307000,<620,<=60,>50,WI,Refinance,Primary,Condo,2019-05,360,4.26
L000229,421000,740-779,91-95,21-30,IN,Purchase,Second Home,Manufactured,2019-06,360,5.95
L000283,225000,740-779,>95,21-30,FL,Cash-Out Refinance,Primary,2-4 Unit,2019-06,360,6.68
L000037,183000,780+,81-90,41-50,MO,Refinance,Primary,Manufactured,2019-06,360,3.93
L000477,369000,620-659,81-90,41-50,WI,Purchase,Second Home,Single Family,2019-06,360,3.95
L000059,194000,620-659,>95,31-40,PA,Cash-Out Refinance,Second Home,Manufactured,2019-06,360,6.72
L000350,332000,780+,81-90,<=20,MO,Purchase,Primary,Single Family,2019-07,360,3.85
L000192,201000,740-779,<=60,<=20,NJ,Refinance,Second Home,2-4 Unit,2019-07,360,3.49
L000190,253000,<620,81-90,<=20,NY,Purchase,Second Home,2-4 Unit,2019-07,360,5.26
L000264,318000,660-699,71-80,41-50,FL,Cash-Out Refinance,Primary,Manufactured,2019-07,360,3.95
L000217,427000,740-779,91-95,>50,NC,Refinance,Investment,Single Family,2019-07,360,2.59
L000353,228000,700-739,61-70,41-50,AZ,Refinance,Investment,Manufactured,2019-07,360,5.19
L000392,310000,780+,91-95,>50,IL,Refinance,Primary,Condo,2019-07,360,4.07
L000455,401000,<620,71-80,<=20,MA,Refinance,Second Home,Condo,2019-07,360,6.92
L000451,258000,660-699,71-80,41-50,MD,Purchase,Primary,Single Family,2019-07,360,4.92
L000167,323000,<620,81-90,21-30,AZ,Cash-Out Refinance,Investment,Single Family,2019-07,360,6.88
L000187,464000,660-699,71-80,31-40,NJ,Purchase,Primary,Manufactured,2019-08,360,3.04
L000193,345000,<620,>95,41-50,AZ,Purchase,Second Home,Manufactured,2019-08,360,3.5
L000241,347000,660-699,61-70,>50,WI,Purchase,Primary,Condo,2019-08,360,6.02
L000220,383000,<620,61-70,<=20,CA,Cash-Out Refinance,Second Home,Manufactured,2019-08,360,2.71
L000313,291000,660-699,<=60,41-50,FL,Refinance,Investment,2-4 Unit,2019-08,360,4.72
L000257,303000,700-739,71-80,<=20,CA,Purchase,Second Home,Manufactured,2019-09,360,6.88
L000016,404000,660-699,>95,21-30,MD,Purchase,Second Home,Manufactured,2019-09,360,6.55
L000035,289000,620-659,91-95,31-40,WA,Purchase,Investment,2-4 Unit,2019-09,360,6.07
L000239,274000,740-779,<=60,>50,MD,Refinance,Primary,2-4 Unit,2019-09,360,6.56
L000005,187000,<620,>95,<=20,WI,Purchase,Primary,Single Family,2019-09,360,5.78
L000431,484000,700-739,71-80,<=20,TN,Purchase,Investment,Manufactured,2019-09,360,5.93
L000019,370000,700-739,81-90,21-30,VA,Purchase,Primary,Single Family,2019-10,360,4.02
L000249,167000,700-739,<=60,21-30,IN,Refinance,Investment,Manufactured,2019-10,360,6.97
L000327,470000,780+,>95,>50,WA,Cash-Out Refinance,Investment,Single Family,2019-10,360,6.74
L000371,463000,780+,71-80,<=20,TX,Refinance,Investment,Single Family,2019-10,360,4.09
L000008,216000,620-659,<=60,21-30,IL,Purchase,Primary,Condo,2019-10,360,4.11
L000439,315000,620-659,91-95,41-50,PA,Purchase,Investment,Single Family,2019-11,360,5.58
L000357,239000,700-739,91-95,21-30,WA,Purchase,Primary,2-4 Unit,2019-11,360,4.89
L000116,341000,700-739,91-95,>50,TX,Refinance,Second Home,Condo,2019-11,360,5.88
L000292,199000,740-779,61-70,21-30,TN,Refinance,Second Home,Manufactured,2019-11,360,4.4
L000097,467000,740-779,>95,>50,WI,Refinance,Primary,Manufactured,2019-11,360,5.56
L000203,168000,660-699,>95,21-30,CA,Purchase,Primary,2-4 Unit,2019-11,360,2.95
L000386,155000,780+,81-90,<=20,IL,Purchase,Second Home,Manufactured,2019-11,360,4.45
L000445,259000,620-659,81-90,>50,OH,Cash-Out Refinance,Investment,Manufactured,2019-11,360,6.36
L000466,357000,780+,91-95,41-50,NJ,Cash-Out Refinance,Investment,2-4 Unit,2019-11,360,5.63
L000179,459000,<620,>95,21-30,OH,Refinance,Primary,Single Family,2019-12,360,4.85
L000006,363000,620-659,81-90,<=20,AZ,Refinance,Primary,Manufactured,2019-12,360,6.65
L000221,195000,780+,>95,>50,AZ,Purchase,Primary,Manufactured,2019-12,360,6.77
L000306,335000,740-779,61-70,41-50,NY,Purchase,Second Home,2-4 Unit,2019-12,360,5.05
L000275,485000,700-739,71-80,>50,MO,Purchase,Investment,Manufactured,2019-12,360,6.69
L000070,425000,620-659,<=60,31-40,IN,Cash-Out Refinance,Primary,Condo,2019-12,360,4.79
L000434,487000,620-659,81-90,31-40,MO,Cash-Out Refinance,Investment,2-4 Unit,2019-12,360,2.89
L000289,490000,<620,81-90,>50,MO,Refinance,Second Home,Single Family,2019-12,360,3.09
L000150,275000,620-659,91-95,<=20,NY,Refinance,Investment,Single Family,2019-12,360,2.91
L000438,485000,700-739,91-95,<=20,IN,Refinance,Primary,2-4 Unit,2019-12,360,3.51
L000224,215000,740-779,<=60,31-40,FL,Refinance,Second Home,2-4 Unit,2019-12,360,6.14
L000401,177000,<620,81-90,21-30,VA,Refinance,Investment,Condo,2019-12,360,4.15
L000398,336000,780+,<=60,31-40,IN,Cash-Out Refinance,Primary,Condo,2019-12,360,3.33
L000323,451000,620-659,>95,41-50,VA,Cash-Out Refinance,Investment,Single Family,2020-01,360,6.2
L000305,440000,660-699,91-95,>50,MD,Purchase,Second Home,Single Family,2020-01,360,6.52
L000284,498000,620-659,61-70,31-40,GA,Cash-Out Refinance,Investment,Manufactured,2020-01,360,5.65
L000228,404000,740-779,91-95,41-50,MI,Refinance,Investment,Manufactured,2020-01,360,4.25
L000463,312000,<620,71-80,21-30,MO,Purchase,Second Home,2-4 Unit,2020-01,360,4.23
L000303,283000,740-779,>95,41-50,NY,Cash-Out Refinance,Investment,Condo,2020-02,360,2.92
L000424,357000,660-699,81-90,<=20,TX,Cash-Out Refinance,Primary,Manufactured,2020-02,360,6.36
L000373,153000,660-699,91-95,31-40,NY,Refinance,Investment,Single Family,2020-02,360,6.19
L000071,264000,620-659,71-80,31-40,NY,Cash-Out Refinance,Primary,2-4 Unit,2020-02,360,3.45
L000294,207000,700-739,71-80,21-30,FL,Refinance,Second Home,2-4 Unit,2020-03,360,4.54
L000256,215000,780+,91-95,>50,MD,Purchase,Second Home,Manufactured,2020-03,360,4.3
L000108,419000,620-659,61-70,<=20,TX,Refinance,Primary,Single Family,2020-03,360,3.78
L000488,342000,<620,>95,31-40,TN,Purchase,Primary,Condo,2020-03,360,2.96
L000144,288000,660-699,<=60,31-40,OH,Refinance,Second Home,2-4 Unit,2020-03,360,3.84
L000255,322000,660-699,71-80,41-50,MO,Purchase,Investment,Condo,2020-03,360,3.64
L000139,328000,620-659,71-80,>50,FL,Purchase,Primary,Condo,2020-03,360,4.23
L000125,159000,780+,71-80,41-50,VA,Refinance,Investment,Condo,2020-04,360,2.98
L000090,385000,780+,81-90,<=20,NC,Refinance,Investment,Single Family,2020-04,360,4.55
L000132,367000,700-739,71-80,>50,IN,Cash-Out Refinance,Second Home,Condo,2020-04,360,3.56
L000259,333000,<620,81-90,31-40,NJ,Cash-Out Refinance,Primary,2-4 Unit,2020-04,360,3.08
L000458,411000,740-779,>95,31-40,WA,Refinance,Primary,Single Family,2020-04,360,3.96
L000133,179000,780+,81-90,>50,NY,Purchase,Investment,Single Family,2020-04,360,6.97
L000417,461000,620-659,<=60,31-40,VA,Refinance,Investment,2-4 Unit,2020-05,360,6.68
L000377,389000,740-779,<=60,31-40,PA,Cash-Out Refinance,Second Home,2-4 Unit,2020-05,360,6.09
L000074,205000,<620,<=60,21-30,MO,Cash-Out Refinance,Second Home,Condo,2020-05,360,6.58
L000491,220000,660-699,71-80,21-30,TN,Cash-Out Refinance,Primary,Condo,2020-05,360,2.63
L000119,273000,700-739,71-80,31-40,MD,Cash-Out Refinance,Primary,2-4 Unit,2020-05,360,5.95
L000429,195000,780+,81-90,<=20,MD,Cash-Out Refinance,Primary,Manufactured,2020-05,360,5.4
L000271,156000,780+,71-80,41-50,MI,Refinance,Investment,Manufactured,2020-06,360,5.22
L000250,388000,740-779,81-90,41-50,PA,Refinance,Second Home,Single Family,2020-06,360,3.53
L000135,264000,620-659,71-80,>50,MD,Cash-Out Refinance,Primary,2-4 Unit,2020-06,360,3.6
L000258,415000,780+,81-90,31-40,MA,Purchase,Investment,Manufactured,2020-06,360,5.75
L000011,425000,620-659,91-95,<=20,CA,Purchase,Primary,Condo,2020-06,360,6.87
L000349,238000,660-699,91-95,31-40,NJ,Cash-Out Refinance,Second Home,2-4 Unit,2020-06,360,5.86
L000446,497000,620-659,61-70,>50,OH,Purchase,Primary,Manufactured,2020-06,360,3.97
L000204,186000,<620,<=60,41-50,FL,Refinance,Primary,Single Family,2020-07,360,3.95
L000290,195000,<620,91-95,41-50,IN,Refinance,Primary,Condo,2020-08,360,4.37
L000280,168000,620-659,>95,<=20,MI,Cash-Out Refinance,Primary,Single Family,2020-08,360,5.24
L000320,203000,780+,61-70,41-50,MD,Purchase,Primary,Single Family,2020-08,360,5.98
L000173,211000,780+,81-90,31-40,TX,Cash-Out Refinance,Investment,Manufactured,2020-08,360,6.19
L000171,438000,<620,91-95,<=20,PA,Refinance,Primary,Manufactured,2020-08,360,4.02
L000152,261000,700-739,81-90,31-40,MA,Purchase,Primary,Single Family,2020-08,360,4.98
L000215,246000,620-659,91-95,<=20,IN,Refinance,Investment,Manufactured,2020-08,360,3.75
L000122,497000,740-779,91-95,>50,CA,Purchase,Primary,Single Family,2020-08,360,6.5
L000400,188000,660-699,81-90,31-40,TN,Refinance,Second Home,2-4 Unit,2020-08,360,3.72
L000297,361000,780+,>95,41-50,IL,Purchase,Primary,2-4 Unit,2020-09,360,3.74
L000196,298000,620-659,91-95,>50,IL,Refinance,Second Home,Single Family,2020-09,360,3.48
L000017,348000,620-659,<=60,31-40,NJ,Purchase,Second Home,Condo,2020-09,360,3.08
L000385,297000,620-659,91-95,>50,MI,Purchase,Primary,2-4 Unit,2020-09,360,4.61
L000246,421000,<620,71-80,>50,TN,Cash-Out Refinance,Second Home,Single Family,2020-09,360,6.7
L000413,354000,<620,61-70,<=20,WI,Refinance,Second Home,Manufactured,2020-09,360,4.57
L000237,274000,620-659,71-80,<=20,FL,Cash-Out Refinance,Second Home,Single Family,2020-09,360,2.5
L000235,153000,740-779,71-80,>50,FL,Refinance,Investment,Manufactured,2020-09,360,2.92
L000223,265000,<620,61-70,21-30,NJ,Purchase,Primary,2-4 Unit,2020-09,360,4.93
L000095,260000,700-739,>95,21-30,OH,Refinance,Primary,Single Family,2020-09,360,6.48
L000281,225000,620-659,81-90,21-30,MI,Purchase,Second Home,2-4 Unit,2020-09,360,4.62
L000406,237000,660-699,81-90,<=20,MA,Purchase,Primary,Condo,2020-09,360,6.53
L000405,416000,780+,71-80,<=20,NY,Cash-Out Refinance,Primary,Condo,2020-09,360,3.53
L000087,196000,740-779,<=60,31-40,FL,Cash-Out Refinance,Second Home,Condo,2020-09,360,5.59
L000363,434000,700-739,61-70,>50,FL,Cash-Out Refinance,Primary,Condo,2020-10,360,3.64
L000094,243000,<620,71-80,21-30,GA,Refinance,Primary,2-4 Unit,2020-10,360,3.81
L000061,434000,780+,71-80,41-50,MO,Refinance,Second Home,Condo,2020-10,360,2.75
L000389,489000,<620,91-95,21-30,TN,Purchase,Second Home,Manufactured,2020-10,360,4.19
L000425,199000,620-659,>95,21-30,GA,Cash-Out Refinance,Investment,Single Family,2020-10,360,6.91
L000232,260000,780+,<=60,21-30,MA,Refinance,Investment,2-4 Unit,2020-11,360,4.11
L000476,425000,700-739,91-95,21-30,IN,Purchase,Primary,2-4 Unit,2020-11,360,4.1
L000049,233000,<620,61-70,21-30,IN,Refinance,Investment,Single Family,2020-11,360,5.22
L000266,422000,660-699,81-90,<=20,AZ,Cash-Out Refinance,Investment,2-4 Unit,2020-11,360,3.9
L000085,495000,<620,61-70,41-50,NJ,Purchase,Investment,2-4 Unit,2020-11,360,4.74
L000422,203000,<620,81-90,<=20,OH,Cash-Out Refinance,Investment,2-4 Unit,2020-11,360,4.93
L000404,266000,<620,91-95,41-50,MO,Purchase,Investment,Single Family,2020-11,360,6.25
L000086,377000,780+,71-80,<=20,IL,Refinance,Primary,Single Family,2020-11,360,3.51
L000101,287000,620-659,71-80,31-40,NC,Cash-Out Refinance,Primary,2-4 Unit,2020-11,360,3.03
L000437,450000,<620,<=60,<=20,CA,Refinance,Second Home,Manufactured,2020-12,360,2.82
L000432,258000,780+,81-90,<=20,VA,Refinance,Primary,Manufactured,2020-12,360,5.45
L000430,333000,740-779,61-70,<=20,MD,Refinance,Second Home,Single Family,2020-12,360,6.95
L000311,411000,660-699,91-95,21-30,TN,Refinance,Second Home,Condo,2020-12,360,2.86
L000500,332000,620-659,71-80,<=20,FL,Cash-Out Refinance,Second Home,Manufactured,2020-12,360,5.02
L000050,168000,660-699,>95,>50,MO,Refinance,Second Home,Condo,2020-12,360,5.23
L000189,484000,780+,>95,<=20,NJ,Cash-Out Refinance,Second Home,Single Family,2020-12,360,4.13
L000120,311000,780+,81-90,21-30,NC,Cash-Out Refinance,Investment,Condo,2020-12,360,6.36
L000226,339000,740-779,61-70,21-30,NJ,Cash-Out Refinance,Primary,2-4 Unit,2020-12,360,4.2
L000099,323000,<620,61-70,21-30,CA,Cash-Out Refinance,Second Home,Condo,2021-01,360,5.85
L000492,453000,620-659,81-90,<=20,FL,Refinance,Second Home,Manufactured,2021-01,360,4.26
L000214,487000,740-779,<=60,41-50,IL,Purchase,Primary,Condo,2021-01,360,3.7
L000274,449000,700-739,<=60,21-30,CA,Purchase,Second Home,Condo,2021-01,360,4.45
L000147,406000,780+,61-70,21-30,GA,Purchase,Second Home,Manufactured,2021-01,360,4.28
L000441,199000,780+,71-80,21-30,FL,Cash-Out Refinance,Second Home,Condo,2021-01,360,4.07
L000251,398000,700-739,<=60,21-30,CA,Cash-Out Refinance,Investment,2-4 Unit,2021-02,360,2.78
L000493,331000,700-739,81-90,41-50,NC,Refinance,Investment,2-4 Unit,2021-02,360,5.11
L000012,399000,620-659,>95,31-40,WI,Purchase,Second Home,2-4 Unit,2021-02,360,2.68
L000178,363000,700-739,81-90,<=20,MO,Purchase,Primary,Single Family,2021-02,360,4.63
L000227,300000,660-699,>95,31-40,FL,Cash-Out Refinance,Investment,Single Family,2021-02,360,3.97
L000158,315000,620-659,>95,21-30,AZ,Refinance,Second Home,Condo,2021-03,360,4.44
L000469,495000,700-739,81-90,<=20,NY,Cash-Out Refinance,Primary,Single Family,2021-03,360,4.78
L000036,423000,<620,>95,31-40,PA,Cash-Out Refinance,Investment,Condo,2021-03,360,2.85
L000473,448000,740-779,<=60,41-50,MA,Cash-Out Refinance,Primary,Manufactured,2021-03,360,3.1
L000198,498000,700-739,61-70,<=20,MI,Cash-Out Refinance,Second Home,Manufactured,2021-03,360,4.81
L000301,425000,740-779,>95,31-40,VA,Purchase,Second Home,Single Family,2021-03,360,6.62
L000384,364000,700-739,61-70,31-40,NY,Purchase,Primary,Manufactured,2021-03,360,3.39
L000345,393000,660-699,<=60,31-40,PA,Refinance,Second Home,2-4 Unit,2021-04,360,5.36
L000414,307000,700-739,71-80,<=20,NC,Purchase,Investment,Single Family,2021-04,360,6.13
